ILCE,alan_metrekare
KÜÇÜKÇEKMECE,7430.624406124081
EYÜPSULTAN,6669.897056452414
ŞİLE,108.97332909191846
BAHÇELİEVLER,3462.257409188909
PENDİK,398.8659003356923
BAŞAKŞEHİR,96034.9743042612
PENDİK,425.9558339704822
ŞİŞLİ,5255.141552769795
KARTAL,144840.1840456783
BAĞCILAR,16547.097253989676
MALTEPE,6392.094247239282
FATİH,20046.883742249924
FATİH,70759.10045168892
BEYOĞLU,84700.96076828279
ŞİLE,822.1537669182356
ÜMRANİYE,17350.08069357921
PENDİK,52266.312496756706
FATİH,10381.015450618715
SARIYER,5275.954039084155
ŞİLE,693.4131067757249
SULTANGAZİ,90140.4091002113
SANCAKTEPE,72400.22300091451
FATİH,11944.162546547364
ARNAVUTKÖY,9016.019849935848
BEŞİKTAŞ,42989.69545651211
SİLİVRİ,78607.0772666886
AVCILAR,3090.359593396843
SİLİVRİ,38564.97789932985
BEŞİKTAŞ,258.08990089278
ÜSKÜDAR,7231.209280384127
KÜÇÜKÇEKMECE,32003.2737073354
FATİH,36234.242216406725
BAĞCILAR,2779.3066294508303
SARIYER,6619.571273846188
ŞİLE,666.0535809264293
BEYOĞLU,7524.329035046769
KÜÇÜKÇEKMECE,14295.620933224181
PENDİK,360.0355604468617
FATİH,1372.8183354025048
ŞİLE,515.2433462999774
TUZLA,456606.30958337174
EYÜPSULTAN,8482.295940766784
BAĞCILAR,4739.79060774135
KADIKÖY,19826.17229807646
KADIKÖY,31079.074872605044
BEŞİKTAŞ,17458.674669431468
BEYKOZ,880.7743650858157
PENDİK,101833.50396982183
PENDİK,11266.319114773692
PENDİK,34861.763337099495
SARIYER,4370.495630931989
ÇATALCA,311740.68007372145
BAKIRKÖY,181473.03081458452
BEYKOZ,769.7497430242696
MALTEPE,14200.73329780397
BAKIRKÖY,2010.2040711404852
BAKIRKÖY,18847.442703302047
BEYOĞLU,6242.484853450814
PENDİK,16221.2849548749
PENDİK,676.2243596978435
ADALAR,852.6812470672788
FATİH,1425.2268740893937
PENDİK,574.1430828974881
ESENLER,10645.177953859946
KARTAL,7949.931149990496
SARIYER,12948.324926544114
SARIYER,73604.43117438642
ÇATALCA,9808.645805129996
ÜMRANİYE,682.3765820576073
BEYLİKDÜZÜ,96671.70080835132
SULTANBEYLİ,2787.867139521171
ŞİŞLİ,10097.523473055311
ATAŞEHİR,102831.53136298028
KAĞITHANE,164257.69676136423
SARIYER,29188.798761284495
BEYOĞLU,4910.877015356361
KAĞITHANE,4736.621125126596
