Durak Adı,İlçe
Maltepe Karacabey Köprülü Kavşağı,Maltepe
İnönü Cad.,Maltepe
Telsizler Cad.,Maltepe
Dörtel Çıkmazı,Maltepe
Validesuyu Cad.,Beykoz
Bent Cad.,Beykoz
E-5 Çırpıcı Yanyol Cad.,Bakırköy
E-5 Çırpıcı Yanyol Cad.,Bakırköy
CEBE ALİ BEY SOKAK,Zeytinburnu
İNÖNÜ CADDESİ,Bağcılar
GÜNGÖREN ÇEŞMEÜ,Güngören
ESENKENT PARK,Esenyurt
Hoşdere Esenyurt Yolu,Esenyurt
Barbaros Cad.,Beykoz
Atatürk Cad.,Beykoz
Mihrişah Valide Sultan Cad.,Beykoz
Çiftlik Cad.,Beykoz
Saip Molla Cad.,Beykoz
Bahri Yaşar Yılmaz Cad.,Beykoz
Bahri Yaşar Yılmaz Cad.,Beykoz
Fatih Sultan Mehmet Cad.,Beykoz
Polonez Cad.,Beykoz
Soğuksu Cad.,Beykoz
Zuhuratbaba Cad.,Bakırköy
Abdi İpekçi Cad.,Güngören
Esenler Cad.,Bağcılar
Bağlar Cad.,Güngören
Müjde Sk.,Bağcılar
Dereboyu Cad.,Küçükçekmece
Üniversite Cad.,Tuzla
Selçuklu Cad.,Sultanbeyli
Selçuklu Cad.,Sultanbeyli
Aydos Cad.,Pendik
BÜYÜKDERE,
Muhsin Yazıcıoğlu Cad.,Pendik
Soğuksu Cad.,Beykoz
Soğuksu Cad.,Beykoz
Köyönü Cad.,Beykoz
Çağlayan Sk.,Pendik
Ayazma Cad.,Kartal
Mehtap Sk.,Pendik
Mehtap Sk.,Pendik
450 Konutlar Cad.,Pendik
Aydınlar Cad.,Büyükçekmece
Kuşdili Sk.,Büyükçekmece
Şarkı Sk.,Büyükçekmece
PTT Cad.,Büyükçekmece
PTT Cad.,Büyükçekmece
Bağlantı Yolu,Büyükçekmece
Karşıyaka Cad.,Büyükçekmece
Uludere Sk.,Büyükçekmece
İskele Cad.,Büyükçekmece
Ridaniye Sk.,Büyükçekmece
Eski Silivri Cad.,Büyükçekmece
Bağlantı Yolu,Büyükçekmece
Eski Silivri Cad.,Büyükçekmece
DEPREM KONUTLARI,Başakşehir
ESKİ KİLYOS CAD.,Sarıyer
DEMİRCİKÖY CAD.,Sarıyer
Türkoba Sınır Cad.,Büyükçekmece
Atatürk 2 Cad.,Büyükçekmece
Havuz Sk.,Büyükçekmece
Millet Cad.,Büyükçekmece
Kültür Cad.,Büyükçekmece
Bayrak Cad.,Büyükçekmece
Atatürk 2 Cad.,Büyükçekmece
Atatürk 2 Cad.,Büyükçekmece
Atatürk 2 Cad.,Büyükçekmece
Atatürk 2 Cad.,Büyükçekmece
Okul Yolu Cad.,Büyükçekmece
Aktuğ Sk.,Büyükçekmece
Kevser Sk.,Büyükçekmece
Çayırlar Cad.,Büyükçekmece
Kırsal Sk.,Büyükçekmece
Çatalca Yolu Cad.,Büyükçekmece
Çatalca Yolu Cad.,Büyükçekmece
Çatalca Yolu Cad.,Büyükçekmece
Çatalca Yolu Cad.,Büyükçekmece
Atatürk 2 Cad.,Büyükçekmece
Millet Cad.,Büyükçekmece
İsmetpaşa Cad.,Büyükçekmece
Sultan Murat Cad.,Büyükçekmece
İsmetpaşa Cad.,Büyükçekmece
TURBAN CAD,Sarıyer
ESKİ LONDRA ASFALTI CADDESİ,Bahçelievler
B.EVLER OTO SANAYİ,Bahçelievler
YAYLA,Bahçelievler
450 Konutlar Cad.,Pendik
450 Konutlar Cad.,Pendik
Olimpiyat Cad.,Kartal
Dünya Sk.,Pendik
Ankara Cad.,Tuzla
10.Yol Sk.,Tuzla
Aydınlı Yolu Cad.,Pendik
Üniversite Cad.,Tuzla
Mahmutbey Cad.,Bahçelievler
Erzincan Cad.,Pendik
Erzincan Cad.,Pendik
Hürriyet Bulvarı,Başakşehir
Hürriyet Bulvarı,Başakşehir
GÖÇMEN KONUTLARI,Başakşehir
İkitelli Cad.,Küçükçekmece
GALVO TEKNİK CAMİİ,Başakşehir
Gözdağı Cad.,Pendik
Dolayoba Cad.,Pendik
Tünel Sk.,Pendik
Farabi Cad.,Pendik
Daday Sk.,Pendik
Amasya Sk.,Pendik
İnönü Cad.,Pendik
İnönü Cad.,Pendik
İnönü Cad.,Pendik
Dolayoba Cad.,Pendik
Adnan Menderes Bulvarı,Pendik
Mostar Bulvarı,Pendik
Yalı Sk.,Kartal
Yalı Sk.,Kartal
Yalı Sk.,Kartal
İSTOÇ YOLU,Başakşehir
Safa Cad.,Pendik
Ertuğrulgazi Cad.,Pendik
YUNUS EMRE,Küçükçekmece
HALKALI MEYDAN,Küçükçekmece
Hatboyu Cad.,Tuzla
Şehitler Cad.,Tuzla
Hatboyu Cad.,Tuzla
Akasya Sk.,Pendik
Kubilay Cad.,Kartal
Yeni Mithatpaşa Cad.,Pendik
Yeni Mithatpaşa Cad.,Pendik
KOMİK HASAN EFENDİ CADDESİ,Bahçelievler
BÜLENT ECEVİT OKULU,Bahçelievler
AKASYA PARKI,Bahçelievler
Mustafa Kemal Atatürk 1 Cad.,Büyükçekmece
Bağlantı Yolu,Büyükçekmece
İstiklal Cad.,Büyükçekmece
İstiklal Cad.,Büyükçekmece
Vatan Cad.,Büyükçekmece
YEŞİLCE MAHALLESİ,Kağıthane
HALİL RAHMAN CAMİİ,Kağıthane
BAŞARI OKULU,Kağıthane
SANAYİ MAHALLESİ,Beşiktaş
4.LEVENT,Beşiktaş
YAHYA KEMAL,Kağıthane
POLİS LOJMANLARI,Kağıthane
YAZICIOĞLU KAVŞAĞI,Bahçelievler
RADAR,Bahçelievler
TOZKOPARAN MAHALLESİ,Güngören
KALE CENTER,Güngören
AKINCILAR MAHALLESİ,Güngören
GÜVEN MAHALLESİ,Güngören
ONUR SİTESİ,Bahçelievler
KAZIM KARABEKİR OKULU,Bahçelievler
KILIÇ ALİ SOKAK,Bahçelievler
Çatalca Yolu Cad.,Büyükçekmece
İsmetpaşa Cad.,Büyükçekmece
Eğitim Sk.,Büyükçekmece
KILIÇ ALİ SOKAK,Bahçelievler
BASIN SİTESİ CAMİİ,Bahçelievler
FERİT SELİM PAŞA CADDESİ,Bahçelievler
FERİT SELİM PAŞA CADDESİ,Bahçelievler
HZ ÖMER CAMİİ,Bahçelievler
ÇEŞME,Güngören
KOCASİNAN MEZARLIĞI,Bahçelievler
KARADENİZ PARKI,Bahçelievler
KOMİK HASAN EFENDİ CADDESİ,Bahçelievler
30 AĞUSTOS CADDESİ,Arnavutköy
BAYBARS SOKAK,Arnavutköy
ANADOLU MAH,Arnavutköy
GAZİOSMANPAŞA MEYDAN,Gaziosmanpaşa
BOSNA ÇUKURÇEŞME,Bayrampaşa
VIALAND,Eyüpsultan
Akören Cad.,Silivri
Akören Cad.,Silivri
AĞAÇLI,Küçükçekmece
GÜLBAHÇE,Beylikdüzü
YAKUPLU,Beylikdüzü
KARANFİL,Başakşehir
ATATÜRK İÖO,Bağcılar
TAVUKCU DERESİ,Bahçelievler
Y.SELİM MAH.,Arnavutköy
HALİTPAŞA CADDESİ,Gaziosmanpaşa
KADİFE,Bayrampaşa
GÜNER AKIN LİSESİ,Beyoğlu
ARITMA TESİSLERİ,Eyüpsultan
DİŞ POLİKLİNİĞİ,Şişli
B.ŞEHİR POLİS MERKEZ,Başakşehir
MİMAR.K.BULVARI,Başakşehir
MEVLANA MAHALLESİ,Gaziosmanpaşa
AKŞEMSETTİN BULVARI,Gaziosmanpaşa
EDİRNEKAPI KALEBOYU,Eyüpsultan
AYAZMA İÖO,Arnavutköy
TURNA SOKAK,Bayrampaşa
KERESTECİLER SİTESİ,Eyüpsultan
ARNAVUTKÖY ESENTEPE,Arnavutköy
643.SK,Gaziosmanpaşa
MADEN DERESİ,Sarıyer
Ali Çebi Cad.,Beylikdüzü
Fatih Sultan Mehmet Cad.,Beylikdüzü
Başkent Cad.,Beylikdüzü
Prof. Muammer Aksoy Cad.,Zeytinburnu
Prof. Muammer Aksoy Cad.,Zeytinburnu
Prof. Muammer Aksoy Cad.,Zeytinburnu
Prof. Muammer Aksoy Cad.,Zeytinburnu
Prof. Muammer Aksoy Cad.,Zeytinburnu
48. Sk.,Zeytinburnu
48. Sk.,Zeytinburnu
48. Sk.,Zeytinburnu
48. Sk.,Zeytinburnu
48. Sk.,Zeytinburnu
Meydan Sk.,Zeytinburnu
14. Sk.,Zeytinburnu
