ILCE,alan_metrekare,Nufus,Minibus_Durak_Sayisi,Rayli_Istasyon_Sayisi,Taksi_Durak_Sayisi,Ortalama_AQI,Ti_raw,Yeni_Yapilacak_Yesil_Alan_GA,Toplam_Yesil_Alan_GA,Yeni_Yapilacak_Yesil_Alan_PSO,Toplam_Yesil_Alan_PSO
ADALAR,51158.82954963867,16979.0,0,0,0,21.8728,0,6102.220030795251,57261.04958043392,0.0,51158.82954963867
ARNAVUTKÖY,64545.19212578033,344868.0,204,5,2,29.73571591167767,216,32261.962199761416,96807.15432554175,0.0,64545.19212578033
ATAŞEHİR,652554.3498556783,414866.0,293,8,29,29.7875014280818,338,163919.31815493194,816473.6680106102,0.0,652554.3498556783
AVCILAR,758438.617676303,440934.0,153,2,12,29.20259503755976,169,57381.984842825696,815820.6025191287,0.0,758438.617676303
BAHÇELİEVLER,172658.04112394387,560086.0,240,9,14,36.60939118425596,272,85841.15690428847,258499.19802823232,86329.02056197193,258987.0616859158
BAKIRKÖY,2698483.5680299588,219893.0,191,19,28,36.60939118425596,257,10.589668000183032,2698494.157697959,0.0,2698483.5680299588
BAYRAMPAŞA,741978.3363974248,268303.0,132,4,8,31.290963030579643,148,24463.397175538794,766441.7335729636,0.0,741978.3363974248
BAĞCILAR,755789.6782663013,713594.0,319,17,15,38.65968586387434,368,166379.62809493538,922169.3063612366,0.0,755789.6782663013
BAŞAKŞEHİR,1976024.6654511543,520467.0,296,17,7,48.57816540477577,337,28626.202351406806,2004650.8678025613,0.0,1976024.6654511543
BEYKOZ,1651523.724152116,245440.0,260,0,8,26.711909353905497,268,7517.763327693584,1659041.4874798097,0.0,1651523.724152116
BEYLİKDÜZÜ,856528.9033921233,415290.0,233,0,7,39.4643751422718,240,159294.66488929623,1015823.5682814196,0.0,856528.9033921233
BEYOĞLU,508454.11097757774,216688.0,75,11,21,28.04237867395762,118,53654.52455253732,562108.6355301151,254227.05548878887,762681.1664663666
BEŞİKTAŞ,1158348.9200150063,167264.0,31,8,54,28.04237867395762,101,3202.7449632763683,1161551.6649782828,0.0,1158348.9200150063
BÜYÜKÇEKMECE,2569637.880803156,280528.0,273,0,16,39.4643751422718,289,5049.3427329938895,2574687.22353615,0.0,2569637.880803156
ESENLER,375489.4256326568,423625.0,138,10,5,31.290963030579643,163,114690.52970214121,490179.95533479797,187744.7128163284,563234.1384489852
