ILCE,alan_metrekare,Nufus,Minibus_Durak_Sayisi,Rayli_Istasyon_Sayisi,Taksi_Durak_Sayisi,Ortalama_AQI,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.2_W2_0.8,Toplam_Yesil_Alan_GA_W1_0.2_W2_0.8,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.2_W2_0.8,Toplam_Yesil_Alan_PSO_W1_0.2_W2_0.8,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.5_W2_0.5,Toplam_Yesil_Alan_GA_W1_0.5_W2_0.5,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.5_W2_0.5,Toplam_Yesil_Alan_PSO_W1_0.5_W2_0.5,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.8_W2_0.2,Toplam_Yesil_Alan_GA_W1_0.8_W2_0.2,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.8_W2_0.2,Toplam_Yesil_Alan_PSO_W1_0.8_W2_0.2
KARTAL,1406194.225819459,475859.0,266,9,29,36.235408116735066,6481.869554139147,1412676.0953735982,0.0,1406194.225819459,267.79045426036373,1406462.0162737193,0.0,1406194.225819459,31731.118325529384,1437925.3441449883,0.0,1406194.225819459
KAĞITHANE,1598947.6567764024,444820.0,182,5,16,46.7515393386545,30582.925282431057,1629530.5820588334,0.0,1598947.6567764024,126839.78328036796,1725787.4400567703,0.0,1598947.6567764024,29100.393779965503,1628048.050556368,0.0,1598947.6567764024
KÜÇÜKÇEKMECE,1646774.3243354743,789033.0,312,18,14,65.46188902814174,166539.53124089047,1813313.8555763648,0.0,1646774.3243354743,33590.175778401135,1680364.5001138754,0.0,1646774.3243354743,289915.9702211359,1936690.2945566103,0.0,1646774.3243354743
MALTEPE,2130674.198635165,524921.0,228,10,12,36.235408116735066,1707.407219404299,2132381.6058545695,0.0,2130674.198635165,66.5476589556098,2130740.746294121,0.0,2130674.198635165,12480.70094685766,2143154.899582023,0.0,2130674.198635165
PENDİK,2660127.494007945,749356.0,396,17,18,36.235408116735066,281.6729853474511,2660409.1669932925,0.0,2660127.494007945,119750.07342530342,2779877.5674332483,0.0,2660127.494007945,37558.492825705805,2697685.986833651,0.0,2660127.494007945
SANCAKTEPE,851191.7589597908,502077.0,206,6,5,43.09060899260103,153064.11639630984,1004255.8753561006,425595.8794798954,1276787.6384396863,96646.63253582655,947838.3914956173,425595.8794798954,1276787.6384396863,174487.54388147773,1025679.3028412685,0.0,851191.7589597908
SARIYER,2743974.6658907183,342582.0,335,7,32,26.711909353905497,1887.3719982379364,2745862.0378889563,0.0,2743974.6658907183,748.9419895824551,2744723.607880301,0.0,2743974.6658907183,9875.517593121196,2753850.1834838395,0.0,2743974.6658907183
SULTANBEYLİ,711311.9838774118,369193.0,147,2,5,43.09060899260103,70449.7315386402,781761.715416052,0.0,711311.9838774118,165014.2938666863,876326.2777440981,0.0,711311.9838774118,183287.74774656887,894599.7316239807,355655.9919387059,1066967.9758161176
SULTANGAZİ,560013.4265267146,532601.0,143,6,4,48.57816540477577,239508.09276790143,799521.5192946161,280006.7132633573,840020.1397900719,207614.73339261627,767628.1599193309,0.0,560013.4265267146,272953.9400950329,832967.3666217475,280006.7132633573,840020.1397900719
SİLİVRİ,4064999.079093968,232156.0,264,0,7,39.4643751422718,692.8721283403065,4065691.9512223084,0.0,4064999.079093968,0.827711584090017,4064999.906805552,0.0,4064999.079093968,10457.45202891333,4075456.5311228815,0.0,4064999.079093968
TUZLA,3153689.0698800897,301400.0,241,4,12,41.09867971773276,1517.2570277680088,3155206.326907858,0.0,3153689.0698800897,1890.029827460684,3155579.0997075504,0.0,3153689.0698800897,2014.6376275406856,3155703.7075076303,0.0,3153689.0698800897
ZEYTİNBURNU,789642.239856637,278344.0,195,8,14,38.212086659064994,39821.392680285746,829463.6325369227,0.0,789642.239856637,245258.9629292072,1034901.2027858442,0.0,789642.239856637,151633.43086041044,941275.6707170474,394821.1199283185,1184463.3597849554
ÇATALCA,1088806.6011754582,80399.0,80,0,1,29.73571591167767,467.16030362517074,1089273.7614790834,0.0,1088806.6011754582,1990.909805432691,1090797.5109808908,0.0,1088806.6011754582,655.1406888943479,1089461.7418643525,0.0,1088806.6011754582
ÇEKMEKÖY,545283.4216504643,306739.0,96,1,5,29.7875014280818,85385.03246030908,630668.4541107734,0.0,545283.4216504643,73835.27369284295,619118.6953433072,0.0,545283.4216504643,14142.807245153566,559426.2288956179,272641.71082523215,817925.1324756965
ÜMRANİYE,1448077.7828947406,727819.0,389,20,11,29.7875014280818,486045.30073209223,1934123.0836268328,0.0,1448077.7828947406,353965.86097099294,1802043.6438657334,0.0,1448077.7828947406,51957.52531461738,1500035.308209358,0.0,1448077.7828947406
ÜSKÜDAR,2357259.262471572,512981.0,296,9,33,25.062542720437456,1544.7843259683639,2358804.0467975405,0.0,2357259.262471572,14675.675250516677,2371934.937722089,0.0,2357259.262471572,3299.3184879979963,2360558.58095957,0.0,2357259.262471572
ŞİLE,347167.07496639347,48936.0,153,0,0,43.09060899260103,10095.515177066973,357262.59014346043,173583.53748319673,520750.61244959023,27696.815712386044,374863.8906787795,0.0,347167.07496639347,24961.56596355198,372128.64092994545,0.0,347167.07496639347
ŞİŞLİ,354780.26493224973,263063.0,68,9,33,28.04237867395762,115335.42320601948,470115.68813826924,0.0,354780.26493224973,49848.356120466735,404628.62105271645,177390.13246612487,532170.3973983746,74859.44845524008,429639.7133874898,177390.13246612487,532170.3973983746
