ILCE,alan_metrekare,Nufus,Minibus_Durak_Sayisi,Rayli_Istasyon_Sayisi,Taksi_Durak_Sayisi,Ortalama_AQI,Yeni_Yapilacak_Yesil_Alan_GA_W1_1.0_W2_0.0,Toplam_Yesil_Alan_GA_W1_1.0_W2_0.0,Yeni_Yapilacak_Yesil_Alan_PSO_W1_1.0_W2_0.0,Toplam_Yesil_Alan_PSO_W1_1.0_W2_0.0,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.9_W2_0.1,Toplam_Yesil_Alan_GA_W1_0.9_W2_0.1,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.9_W2_0.1,Toplam_Yesil_Alan_PSO_W1_0.9_W2_0.1,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.8_W2_0.2,Toplam_Yesil_Alan_GA_W1_0.8_W2_0.2,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.8_W2_0.2,Toplam_Yesil_Alan_PSO_W1_0.8_W2_0.2,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.7_W2_0.3,Toplam_Yesil_Alan_GA_W1_0.7_W2_0.3,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.7_W2_0.3,Toplam_Yesil_Alan_PSO_W1_0.7_W2_0.3,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.6_W2_0.4,Toplam_Yesil_Alan_GA_W1_0.6_W2_0.4,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.6_W2_0.4,Toplam_Yesil_Alan_PSO_W1_0.6_W2_0.4,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.5_W2_0.5,Toplam_Yesil_Alan_GA_W1_0.5_W2_0.5,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.5_W2_0.5,Toplam_Yesil_Alan_PSO_W1_0.5_W2_0.5,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.4_W2_0.6,Toplam_Yesil_Alan_GA_W1_0.4_W2_0.6,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.4_W2_0.6,Toplam_Yesil_Alan_PSO_W1_0.4_W2_0.6,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.3_W2_0.7,Toplam_Yesil_Alan_GA_W1_0.3_W2_0.7,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.3_W2_0.7,Toplam_Yesil_Alan_PSO_W1_0.3_W2_0.7,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.2_W2_0.8,Toplam_Yesil_Alan_GA_W1_0.2_W2_0.8,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.2_W2_0.8,Toplam_Yesil_Alan_PSO_W1_0.2_W2_0.8,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.1_W2_0.9,Toplam_Yesil_Alan_GA_W1_0.1_W2_0.9,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.1_W2_0.9,Toplam_Yesil_Alan_PSO_W1_0.1_W2_0.9,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.0_W2_1.0,Toplam_Yesil_Alan_GA_W1_0.0_W2_1.0,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.0_W2_1.0,Toplam_Yesil_Alan_PSO_W1_0.0_W2_1.0
BEYLİKDÜZÜ,856528.9033921233,415290.0,233,0,7,39.4643751422718,71533.27744523357,928062.1808373568,0.0,856528.9033921233,67426.92387194475,923955.8272640681,0.0,856528.9033921233,57920.25187416586,914449.1552662891,0.0,856528.9033921233,140385.10840380786,996914.0117959311,428264.45169606165,1284793.355088185,74554.8894154206,931083.7928075439,0.0,856528.9033921233,188217.19880629308,1044746.1021984164,428264.45169606165,1284793.355088185,55567.47980785066,912096.383199974,0.0,856528.9033921233,7299.226351731075,863828.1297438544,0.0,856528.9033921233,25602.56635214308,882131.4697442664,0.0,856528.9033921233,151557.52490773943,1008086.4282998627,0.0,856528.9033921233,96895.01674608725,953423.9201382105,428264.45169606165,1284793.355088185
BEYOĞLU,508454.11097757774,216688.0,75,11,21,28.04237867395762,112415.59477134187,620869.7057489196,0.0,508454.11097757774,15345.106755221032,523799.2177327988,101302.53372010468,609756.6446976825,163458.67788760088,671912.7888651786,0.0,508454.11097757774,52174.74608739179,560628.8570649695,0.0,508454.11097757774,62266.85948750737,570720.9704650851,0.0,508454.11097757774,39677.98572985361,548132.0967074314,254227.05548878887,762681.1664663666,146646.7886205682,655100.899598146,254227.05548878887,762681.1664663666,3906.1140298420537,512360.2250074198,254227.05548878887,762681.1664663666,41444.91715064295,549899.0281282207,0.0,508454.11097757774,97339.35446395574,605793.4654415335,0.0,508454.11097757774,68088.24507392578,576542.3560515036,0.0,508454.11097757774
BEŞİKTAŞ,1158348.9200150063,167264.0,31,8,54,28.04237867395762,325.4245507991835,1158674.3445658055,0.0,1158348.9200150063,2442.8153511486425,1160791.735366155,0.0,1158348.9200150063,37023.420668832165,1195372.3406838386,0.0,1158348.9200150063,133.13549289979284,1158482.055507906,0.0,1158348.9200150063,12027.84933433176,1170376.769349338,0.0,1158348.9200150063,14699.860973563224,1173048.7809885696,0.0,1158348.9200150063,892.334188455613,1159241.254203462,0.0,1158348.9200150063,7920.888703776689,1166269.808718783,0.0,1158348.9200150063,145.62106641619783,1158494.5410814225,0.0,1158348.9200150063,828.5098272828077,1159177.429842289,0.0,1158348.9200150063,699.3587125607029,1159048.278727567,0.0,1158348.9200150063
BÜYÜKÇEKMECE,2569637.880803156,280528.0,273,0,16,39.4643751422718,400.88812414552626,2570038.7689273017,0.0,2569637.880803156,804.771950461416,2570442.6527536176,0.0,2569637.880803156,14466.395717882247,2584104.2765210383,0.0,2569637.880803156,2309.454201166896,2571947.335004323,0.0,2569637.880803156,453.8383950453366,2570091.7191982013,0.0,2569637.880803156,3122.2492295141574,2572760.13003267,0.0,2569637.880803156,47.452662454869326,2569685.333465611,0.0,2569637.880803156,16781.436661529464,2586419.3174646855,0.0,2569637.880803156,10491.215459455878,2580129.096262612,0.0,2569637.880803156,1873.851519226448,2571511.7323223827,0.0,2569637.880803156,290.28141717468134,2569928.162220331,0.0,2569637.880803156
ESENLER,375489.4256326568,423625.0,138,10,5,31.290963030579643,60227.55509633513,435716.9807289919,187744.7128163284,563234.1384489852,71556.23443801368,447045.6600706705,187744.7128163284,563234.1384489852,105136.96461716597,480626.39024982275,0.0,375489.4256326568,51890.50628412726,427379.93191678403,0.0,375489.4256326568,65656.44864211026,441145.87427476706,187744.7128163284,563234.1384489852,152263.62763774223,527753.053270399,187744.7128163284,563234.1384489852,80077.59623931083,455567.0218719676,187744.7128163284,563234.1384489852,134580.30661484966,510069.73224750644,0.0,375489.4256326568,30338.193787189313,405827.6194198461,0.0,375489.4256326568,93682.22520611828,469171.6508387751,0.0,375489.4256326568,171292.8881146196,546782.3137472763,0.0,375489.4256326568
ESENYURT,1190145.785879942,988369.0,277,3,12,39.4643751422718,137807.55866646476,1327953.3445464065,0.0,1190145.785879942,343421.9869481867,1533567.7728281287,0.0,1190145.785879942,172262.8073530755,1362408.5932330175,0.0,1190145.785879942,292960.10262020974,1483105.8885001517,0.0,1190145.785879942,354432.92735727574,1544578.7132372176,595072.892939971,1785218.678819913,317575.2459954354,1507721.0318753773,0.0,1190145.785879942,187531.7348443257,1377677.5207242677,0.0,1190145.785879942,392657.6519419224,1582803.4378218642,595072.892939971,1785218.678819913,316813.9666072287,1506959.7524871705,0.0,1190145.785879942,379153.0832171845,1569298.8690971264,595072.892939971,1785218.678819913,328670.9936951718,1518816.7795751137,0.0,1190145.785879942
EYÜPSULTAN,7189930.516470695,420706.0,300,25,16,37.04040519007512,32.38310107946686,7189962.8995717745,0.0,7189930.516470695,149.02529990377087,7190079.541770599,0.0,7189930.516470695,73.6810206483899,7190004.197491343,0.0,7189930.516470695,400.4450825932121,7190330.961553288,0.0,7189930.516470695,1208.5392090679477,7191139.055679763,0.0,7189930.516470695,3.790180281483586,7189934.306650977,0.0,7189930.516470695,6865.5061887772135,7196796.022659472,0.0,7189930.516470695,25.01727608775163,7189955.533746783,0.0,7189930.516470695,47.06870220674216,7189977.585172902,0.0,7189930.516470695,77.66398298214283,7190008.180453677,0.0,7189930.516470695,300.6324304785983,7190231.148901174,0.0,7189930.516470695
FATİH,1857859.933628624,354472.0,14,27,32,38.212086659064994,6733.099231299806,1864593.0328599238,0.0,1857859.933628624,44843.35852886053,1902703.2921574847,0.0,1857859.933628624,3041.021828296048,1860900.9554569202,0.0,1857859.933628624,977.1973193208203,1858837.130947945,0.0,1857859.933628624,33704.86502111342,1891564.7986497376,0.0,1857859.933628624,58946.21795568729,1916806.1515843114,0.0,1857859.933628624,129647.49246453113,1987507.4260931553,0.0,1857859.933628624,65.22634758203273,1857925.159976206,0.0,1857859.933628624,1389.751883550891,1859249.6855121749,0.0,1857859.933628624,186.50051787097328,1858046.434146495,0.0,1857859.933628624,2543.3494704121576,1860403.2830990362,0.0,1857859.933628624
GAZİOSMANPAŞA,204094.60721775488,479931.0,180,8,7,37.04040519007512,90174.05921665012,294268.666434405,0.0,204094.60721775488,100974.71795225359,305069.32517000847,102047.30360887744,306141.9108266323,96051.17094811365,300145.77816586854,102047.30360887744,306141.9108266323,92476.96466006577,296571.57187782065,102047.30360887744,306141.9108266323,101282.44591442755,305377.05313218245,102047.30360887744,306141.9108266323,65852.00677181737,269946.6139895723,102047.30360887744,306141.9108266323,101235.20519683388,305329.81241458876,102047.30360887744,306141.9108266323,90568.11786013067,294662.72507788555,0.0,204094.60721775488,99131.70771525968,303226.31493301457,102047.30360887744,306141.9108266323,84892.22383104156,288986.8310487964,102047.30360887744,306141.9108266323,93884.7496321587,297979.3568499136,102047.30360887744,306141.9108266323
GÜNGÖREN,29380.789241699124,264831.0,144,6,7,36.60939118425596,14690.394505891632,44071.18374759075,14690.394620849562,44071.183862548685,14690.394600593227,44071.18384229235,14690.394620849562,44071.183862548685,14690.393436439044,44071.18267813817,14690.394620849562,44071.183862548685,14690.394588942316,44071.18383064144,14690.394620849562,44071.183862548685,14690.374502678016,44071.16374437714,14690.394620849562,44071.183862548685,14690.394353603639,44071.18359530276,14690.394620849562,44071.183862548685,14690.394620849562,44071.183862548685,14690.394620849562,44071.183862548685,14690.369786697524,44071.15902839665,14690.394620849562,44071.183862548685,14672.587142158096,44053.37638385722,14690.394620849562,44071.183862548685,14690.064326640248,44070.85356833937,14690.394620849562,44071.183862548685,14687.61755704271,44068.40679874183,14690.394620849562,44071.183862548685
