Durak Adı,İlçe
QUEEN BOMONTİ,Şişli
MEYDAN TAKSİ,Avcılar
İÇERENKÖY ANADOLU MERKEZ,Ataşehir
ÇEMBERLİTAŞ MEYDAN TAKSİ,Fatih
YENİ LEVENT MERCAN TAKSİ,Beşiktaş
TAKSİM İLK YARDIM HASTANE TAKSİ,Beyoğlu
MALL OF İSTANBUL TAKSİ,Başakşehir
KANLICA TAKSİ DURAĞI,Beykoz
SAKLIKENT ORTAKÖY TAKSİ,Beşiktaş
ÖZ KÜLTÜR TAKSİ,Beşiktaş
KARANFİL TAKSİ,Beşiktaş
GÜNER TAKSİ,Avcılar
İNCİRALTI TAKSİ,Avcılar
STEIGENBERGER TAKSİ,Bahçelievler
Öz Site 1 Taksi Durağı,Silivri
BÜYÜKÇEKMECE HASTANE TAKSİ,Büyükçekmece
MİMARSİNAN BİRLİK TAKSİ,Büyükçekmece
KARDEŞLER TAKSİ,Esenyurt
ROFO TAKSİ,Fatih
VENEZİA MEGA OUTLET TAKSİ,Gaziosmanpaşa
ÇINAR TAKSİ,Küçükçekmece
ADATEPE TELSİZ TAKSİ,Maltepe
MALTEPE 2574 ADA 53 PARSEL ÖNÜ,Maltepe
MALTEPE PARK AVM,Maltepe
METRO TAKSİ,Bağcılar
DOĞU SANAYİ TAKSİ-2,Bahçelievler
KUYUMCUKENT TAKSİ,Bahçelievler
ATAKENT TAKSİ 1,Bakırköy
SİTE TAKSİ DURAĞI,Bakırköy
AĞAOĞLU İSTANBUL TAKSİ,Başakşehir
İSPARK gençtürk cad.,Fatih
HASEKİ HASTANE TAKSİ,Fatih
İSPARK ÜSKÜDAR ACIBADEM CADDESİ,Kadıköy
"İSPARK ÇENGELKÖY YOLU, BOSNA BULVARI",Üsküdar
TUZLA AYDINLI SİTE TAKSİ,Tuzla
EMNİYET TAKSİ,Tuzla
ŞİŞLİ MERKEZ TAKSİ,Şişli
POLAT TOWER RESİDENCE TAKSİ,Şişli
MASLAK ÇARŞI TAKSİ,Sarıyer
HİZMET TAKSİ,Sancaktepe
SANCAKTEPE HASTANE TAKSİ DURAĞI baraj yolu,Sancaktepe
YENİŞEHİR MERKEZ TAKSİ,Pendik
AYDINEVLER MERKEZ TAKSİ,Maltepe
DİVAN TAKSİ,Küçükçekmece
SOĞANLIK METRO DURAĞI,Kartal
TİBAL TAKSİ,Kadıköy
TEPE NAUTİLUS TAKSİ,Kadıköy
OPTİMUM AVM ÖNÜ,Ataşehir
NUR TAKSİ,Kadıköy
KIŞLA TAKSİ,Esenler
SKYLAND TAKSİ,Sarıyer
BATIŞEHİR TAKSİ,Bağcılar
TAŞDELEN METRO,Çekmeköy
ANTPLATO TAKSİ,Küçükçekmece
MERKEZ MEYDAN TAKSİ DURAĞI,Sultanbeyli
CENGİZTOPEL TAKSİ DURAĞI,Eyüpsultan
26 TAKSİ DURAĞI,Sultangazi
METROPOL AVM TAKSİ-2,Ataşehir
YAŞAM TAKSİ DURAĞI,Beylikdüzü
MANOLYA TAKSİ,Kartal
CONCORD TAKSİ,Kadıköy
ÖZ TAKSİ DURAĞI,Zeytinburnu
5.Levent Taksi,Eyüpsultan
DİNÇER TAKSİ,Bayrampaşa
SİNANOBA TAKSİ,Büyükçekmece
OYA TAKSİ,Şişli
DİKİLİTAŞ MERKEZ TAKSİ,Beşiktaş
Fatih Bulvarı 7784 ada 6 parsel önü,Sultanbeyli
BİZİM TAKSİ,Büyükçekmece
VADİ TAKSİ,Beykoz
DURU TAKSİ DURAĞI,Kartal
İSTWEST MEYDAN TAKSİ,Bahçelievler
KARTAL STAD TAKSİ,Kartal
MARMARA EĞİTİM KÖYÜ,Maltepe
ÖZ NİŞANTAŞI TAKSİ-2,Şişli
ÜNALAN 15 TEMMUZ ŞEHİTLER TAKSİ,Üsküdar
DOĞANCILAR TAKSİ,Üsküdar
FİRUZE KONAKLARI TAKSİ DURAĞI,Avcılar
MİMAR SİNAN KİPTAŞ-2 TAKSİ,Tuzla
SAKIZAĞACI TAKSİ-1,Beyoğlu
SANTRAL TAKSİ DURAĞI-2,Kadıköy
KARADENİZ TAKSİ,Gaziosmanpaşa
TOPAĞACI TAKSİ,Şişli
İSPARK Fatih Bulvarı 8223 ada 3 parsel önü,Sultanbeyli
ETİLER BİZİM TAKSİ (4),Beşiktaş
FUAR TAKSİ,Büyükçekmece
SİLAHŞÖR TAKSİ,Şişli
İSTMARİN AVM TAKSİ,Kartal
AVCILAR HOSPİTAL TAKSİ,Avcılar
SARIYER SİTE TAKSİ,Sarıyer
ADİL TAKSİ,Sultanbeyli
ÖZ VALİDE ÇEŞME TAKSİ,Beşiktaş
İAYO SANAYİ TAKSİ,Tuzla
YENİ MASLAK 42 TAKSİ,Sarıyer
BEYAZ REZİDANS,Zeytinburnu
BOMONTİ HİLTON TAKSİ,Şişli
GÖKTÜRK MERKEZ TAKSİ-4,Eyüpsultan
AYAZMA TAKSİ,Büyükçekmece
MARMARA TAKSİ,Üsküdar
THE İSTANBUL RESIDENCE TAKSİ,Zeytinburnu
BAHÇEŞEHİR TAKSİ,Başakşehir
ALİBEYKÖY CEP OTOGARI ÖNÜ TAKSİ,Eyüpsultan
NAMIK KEMAL ÇİFTE HAVUZLAR TAKSİ,Esenler
TRENDİST TAKSİ,Ataşehir
BEYLİKDÜZÜ HASTANE TAKSİ,Büyükçekmece
DORUK TAKSİ-1,Eyüpsultan
EXSEN ELMALIKENT TAKSİ,Ümraniye
Huzur Taksi,Küçükçekmece
BHT CLINIC TAKSİ,Küçükçekmece
ÇEKMEKÖY MERKEZ TAKSİ DURAĞI,Çekmeköy
ZEYTİNBURNU DEMİRCİLER SİTE TAKSİ,Zeytinburnu
Merdivenköy Taksi,Kadıköy
CENNET YILDIZ TAKSİ,Küçükçekmece
İSTİNYE PARK TAKSİ,Sarıyer
KANDİLLİ BOĞAZİÇİ TAKSİ,Üsküdar
ÇAMLICA KULE,Üsküdar
TURGUT REİS TAKSİ DURAĞI,Esenler
SEKMEN TAKSİ-2,Kartal
GÜLLÜBAĞLAR TAKSİ,Pendik
GALATAPORT 2 TAKSİ,Beyoğlu
HİLAL TAKSİ-1,Pendik
PANGALTI MEYDAN TAKSİ,Şişli
GALATAPORT 1 TAKSİ,Beyoğlu
KİPTAŞ KONUTLARI TUNA TAKSİ,Bayrampaşa
OTOGAR TAKSİ,Bayrampaşa
EGM TAKSİ DURAĞI TAŞIMACILIK TURİZM LOJİSTİK LİMİTED ŞİRKETİ,Bakırköy
PELİKAN MALL TAKSİ,Avcılar
KUŞDİLİ UMUMA AÇIK TAKSİ DURAK YERİ,Kadıköy
BİZİM TAKSİ,Başakşehir
SÖĞÜTLÜ ÇEŞME UMUMA AÇIK TAKSİ DURAĞI,Kadıköy
