Proje Adı,İstasyon Adı,İlçe
M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,İlkyuva,Bahçelievler
M1B (U2) Kirazlı - Halkalı Metro Hattı,Halkalı,Küçükçekmece
T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Eminönü,Fatih
M11 Halkalı - İstanbul Havalimanı Metro Hattı,Halkalı,Küçükçekmece
M1B (U2) Kirazlı - Halkalı Metro Hattı,Mehmet Akif Ersoy,Küçükçekmece
Halkalı - Arnavutköy - Yeni Havalimanı Metro Hattı,Tema Park,Küçükçekmece
M11 Halkalı - İstanbul Havalimanı Metro Hattı,Kayaşehir Merkez,Başakşehir
M1B (U2) Kirazlı - Halkalı Metro Hattı,Bezirganbahçe,Küçükçekmece
M11 Halkalı - İstanbul Havalimanı Metro Hattı,Olimpiyat,Başakşehir
M1B (U2) Kirazlı - Halkalı Metro Hattı,Halkalı - Üniversite,Küçükçekmece
M1B (U2) Kirazlı - Halkalı Metro Hattı,Yenidoğan,Küçükçekmece
M11 Halkalı - İstanbul Havalimanı Metro Hattı,Fenertepe,Başakşehir
M11 Halkalı - İstanbul Havalimanı Metro Hattı,Arnavutköy -2,Arnavutköy
M11 Halkalı - İstanbul Havalimanı Metro Hattı,Arnavutköy - 1,Arnavutköy
M1B (U2) Kirazlı - Halkalı Metro Hattı,Mimar Sinan,Bağcılar
M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Onurkent,Başakşehir
M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Şehir Hastanesi,Başakşehir
M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Toplu Konutlar,Başakşehir
M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Kayaşehir Merkez,Başakşehir
M12 Göztepe-Ümraniye Metro Hattı,Göztepe 60. Yıl Parkı,Kadıköy
M12 Göztepe-Ümraniye Metro Hattı,Çarşı,Ümraniye
M12 Göztepe-Ümraniye Metro Hattı,Atakent,Ümraniye
M12 Göztepe-Ümraniye Metro Hattı,Yeni Sahra,Ataşehir
M12 Göztepe-Ümraniye Metro Hattı,Finans Merkezi,Ümraniye
M12 Göztepe-Ümraniye Metro Hattı,Sahrayıcedit,Kadıköy
M12 Göztepe-Ümraniye Metro Hattı,SBÜ Hastanesi,Ümraniye
M12 Göztepe-Ümraniye Metro Hattı,Site,Ümraniye
M12 Göztepe-Ümraniye Metro Hattı,Ataşehir,Ataşehir
M12 Göztepe-Ümraniye Metro Hattı,Göztepe,Kadıköy
M12 Göztepe-Ümraniye Metro Hattı,Kazım Karabekir,Ümraniye
M7 (U3) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Bölge Parkı,Bağcılar
T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Feshane,Eyüpsultan
